Data As Of,Start Date,End Date,MMWR Year,MMWR Week,Week-Ending Date,Jurisdiction of Occurrence,Urbanization Classification,COVID-19 Deaths,Total Deaths,Footnote
05/05/2021,12/29/2019,01/04/2020,2020,1,01/04/2020,United States,All Counties in the U.S.,,60171,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2021,12/29/2019,01/04/2020,2020,1,01/04/2020,United States,Metropolitan,,51072,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2021,12/29/2019,01/04/2020,2020,1,01/04/2020,United States,Nonmetropolitan,0,9099,
05/05/2021,01/05/2020,01/11/2020,2020,2,01/11/2020,United States,All Counties in the U.S.,0,60725,
05/05/2021,01/05/2020,01/11/2020,2020,2,01/11/2020,United States,Metropolitan,0,51777,
05/05/2021,01/05/2020,01/11/2020,2020,2,01/11/2020,United States,Nonmetropolitan,0,8948,
05/05/2021,01/12/2020,01/18/2020,2020,3,01/18/2020,United States,All Counties in the U.S.,,59352,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2021,01/12/2020,01/18/2020,2020,3,01/18/2020,United States,Metropolitan,,50576,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2021,01/12/2020,01/18/2020,2020,3,01/18/2020,United States,Nonmetropolitan,,8776,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2021,01/19/2020,01/25/2020,2020,4,01/25/2020,United States,All Counties in the U.S.,,59153,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2021,01/19/2020,01/25/2020,2020,4,01/25/2020,United States,Metropolitan,,50324,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2021,01/19/2020,01/25/2020,2020,4,01/25/2020,United States,Nonmetropolitan,0,8829,
05/05/2021,01/26/2020,02/01/2020,2020,5,02/01/2020,United States,All Counties in the U.S.,0,58822,
05/05/2021,01/26/2020,02/01/2020,2020,5,02/01/2020,United States,Metropolitan,0,50028,
05/05/2021,01/26/2020,02/01/2020,2020,5,02/01/2020,United States,Nonmetropolitan,0,8794,
